isinCd,credit_rating,credit_spread,duration_sensitivity,rating_signal,spread_signal,duration_signal,total_score,available_signals,investment_priority
KR2099032G88,,0.2908268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR2100012G70,,0.2941635865845313,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2100012G88,,0.2908268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR2101012G78,,0.2781635865845313,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2101012G86,,0.2908268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR2106012G77,,0.2781635865845313,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2106012G85,,0.2908268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR310502GC82,AA0,0.407,,STABLE,NEUTRAL,,1,2,안정성 중심
KR310506AFB6,AAA,-0.3149999999999999,저민감,STABLE,STABLE,STABLE,3,3,안정성 중심
KR350101GB92,AAA,-0.5129999999999999,저민감,STABLE,STABLE,STABLE,3,3,안정성 중심
KR350103G9B0,AAA,-0.9940000000000002,저민감,STABLE,STABLE,STABLE,3,3,안정성 중심
KR350103GA18,AAA,-0.6309999999999998,저민감,STABLE,STABLE,STABLE,3,3,안정성 중심
KR350103GBB9,AAA,-0.0049999999999998,저민감,STABLE,STABLE,STABLE,3,3,안정성 중심
KR350104GA25,AAA,-0.6309999999999998,중간,STABLE,STABLE,NEUTRAL,2,3,안정성 중심
KR350105GEA0,AAA,-1.0470000000000002,저민감,STABLE,STABLE,STABLE,3,3,안정성 중심
KR350107GB96,AAA,-0.0670000000000001,저민감,STABLE,STABLE,STABLE,3,3,안정성 중심
KR350201GAB3,AAA,-0.274,중간,STABLE,STABLE,NEUTRAL,2,3,안정성 중심
KR354404GB98,AAA,2.6460000000000004,,STABLE,YIELD,,0,2,균형형
KR356101DE40,AAA,0.56,중간,STABLE,YIELD,NEUTRAL,0,3,균형형
KR356101DFB5,AAA,0.4440000000000004,중간,STABLE,NEUTRAL,NEUTRAL,1,3,안정성 중심
KR356101DG89,AAA,0.9367631759069136,,STABLE,YIELD,,0,2,균형형
KR3561027243,AAA,0.4229676933607114,고민감,STABLE,NEUTRAL,YIELD,0,3,균형형
KR3561127225,AAA,0.478445585215606,고민감,STABLE,NEUTRAL,YIELD,0,3,균형형
KR356801G6A0,AAA,-0.3130000000000001,저민감,STABLE,STABLE,STABLE,3,3,안정성 중심
KR380601GE34,A+,0.7379999999999995,,NEUTRAL,YIELD,,-1,2,수익률 중심
KR380801AG36,AAA,-0.673,저민감,STABLE,STABLE,STABLE,3,3,안정성 중심
KR380807GE85,AAA,-1.0059999999999998,저민감,STABLE,STABLE,STABLE,3,3,안정성 중심
KR381001G9A0,AA0,-0.2680533880903493,,STABLE,STABLE,,2,2,안정성 중심
KR381001GD70,AA-,1.109,,STABLE,YIELD,,0,2,균형형
KR381002GC47,AA-,0.1029999999999997,,STABLE,NEUTRAL,,1,2,안정성 중심
